Name	\\HST1\T1.A26BJ1B
Data Type	Float 32
Number of Values	52842
Time	Value	Value Attributes
30-Mar-2024 03:43:26.96875	33
30-Mar-2024 03:35:12.5	33
30-Mar-2024 03:23:50.21875	34
30-Mar-2024 03:07:13.875	35
30-Mar-2024 03:06:37.875	35
30-Mar-2024 03:04:08.84375	35
30-Mar-2024 02:56:27.6875	37
30-Mar-2024 02:50:26.625	38
30-Mar-2024 02:46:28.5	38
30-Mar-2024 02:46:11.5	38
30-Mar-2024 02:45:42.46875	38
30-Mar-2024 02:45:40.4375	38
30-Mar-2024 02:42:30.40625	38
30-Mar-2024 02:13:21.625	35
30-Mar-2024 01:57:25.84375	33
30-Mar-2024 01:52:09.75	31
30-Mar-2024 01:49:02.65625	30
30-Mar-2024 01:46:27.59375	28
30-Mar-2024 01:44:50.5	26
30-Mar-2024 01:43:11.4375	26
30-Mar-2024 00:19:37.4375	27
29-Mar-2024 23:26:35.59375	27
29-Mar-2024 23:26:33.59375	27
29-Mar-2024 23:26:15.59375	27
29-Mar-2024 23:26:04.59375	27
29-Mar-2024 23:25:51.59375	27
29-Mar-2024 23:25:47.59375	27
29-Mar-2024 23:25:35.59375	27
29-Mar-2024 23:25:25.59375	27
29-Mar-2024 23:25:19.59375	27
29-Mar-2024 23:25:09.59375	27
29-Mar-2024 23:24:17.5625	27
29-Mar-2024 23:24:14.5625	27
29-Mar-2024 23:23:21.53125	27
29-Mar-2024 22:55:51.40625	27
29-Mar-2024 22:55:47.40625	28
29-Mar-2024 22:55:03.375	27
29-Mar-2024 22:29:18	28
29-Mar-2024 19:59:43.15625	29
29-Mar-2024 19:58:00.03125	29
29-Mar-2024 19:57:59.03125	29
29-Mar-2024 19:56:46.96875	29
29-Mar-2024 19:56:44.96875	29
29-Mar-2024 19:56:34.96875	29
29-Mar-2024 19:54:58.90625	29
29-Mar-2024 19:54:38.90625	29
29-Mar-2024 19:54:33.90625	29
29-Mar-2024 19:51:34.8125	29
29-Mar-2024 19:51:27.8125	29
29-Mar-2024 19:51:03.78125	29
29-Mar-2024 19:24:02.96875	30
29-Mar-2024 16:00:22.0625	31
29-Mar-2024 16:00:19.0625	31
29-Mar-2024 15:58:30.96875	31
29-Mar-2024 15:25:59.9375	32
29-Mar-2024 14:48:52.46875	32
29-Mar-2024 14:07:48.53125	32
29-Mar-2024 12:55:03.53125	33
29-Mar-2024 12:43:00.28125	34
29-Mar-2024 12:20:31.34375	34
29-Mar-2024 11:58:12.4375	36
29-Mar-2024 11:50:57.15625	37
29-Mar-2024 11:45:24.96875	38
29-Mar-2024 11:41:28.84375	38
29-Mar-2024 11:41:22.84375	38
29-Mar-2024 11:41:21.84375	38
29-Mar-2024 11:37:28.78125	38
29-Mar-2024 11:14:12.125	35
29-Mar-2024 11:01:45.78125	33
29-Mar-2024 10:57:56.53125	32
29-Mar-2024 10:55:20.40625	30
29-Mar-2024 10:53:49.34375	29
29-Mar-2024 10:52:55.3125	28
29-Mar-2024 07:20:51.28125	27
29-Mar-2024 05:18:44.1875	28
29-Mar-2024 03:35:09.4375	29
29-Mar-2024 03:07:55.5	29
29-Mar-2024 03:07:54.5	29
29-Mar-2024 02:48:41.875	29
29-Mar-2024 02:48:26.84375	29
29-Mar-2024 02:45:59.71875	29
29-Mar-2024 02:45:43.71875	29
29-Mar-2024 02:45:41.71875	29
29-Mar-2024 02:44:05.71875	29
29-Mar-2024 02:44:03.71875	29
29-Mar-2024 02:42:08.625	29
29-Mar-2024 02:01:43.34375	30
29-Mar-2024 00:51:29.96875	31
29-Mar-2024 00:06:32.53125	32
28-Mar-2024 23:38:50.65625	33
28-Mar-2024 23:14:46.84375	34
28-Mar-2024 23:06:39.6875	34
28-Mar-2024 22:52:22.1875	35
28-Mar-2024 22:43:19.90625	37
28-Mar-2024 22:36:09.53125	38
28-Mar-2024 22:36:02.5	38
28-Mar-2024 22:32:19.375	38
28-Mar-2024 22:32:11.375	38
28-Mar-2024 22:11:00	37
28-Mar-2024 22:10:48	36
28-Mar-2024 22:10:20.90625	37
28-Mar-2024 22:07:29.8125	36
28-Mar-2024 22:06:20.78125	36
28-Mar-2024 21:38:53.90625	34
28-Mar-2024 21:27:05.625	33
28-Mar-2024 21:21:10.28125	31
28-Mar-2024 21:17:47.15625	30
28-Mar-2024 21:15:26.15625	27
28-Mar-2024 21:14:21.15625	26
28-Mar-2024 19:24:27.96875	26
28-Mar-2024 19:09:41.25	26
28-Mar-2024 17:11:45.65625	27
28-Mar-2024 14:42:09.53125	27
28-Mar-2024 14:42:05.53125	27
28-Mar-2024 14:34:18.34375	27
28-Mar-2024 14:34:00.3125	27
28-Mar-2024 14:32:08.28125	27
28-Mar-2024 14:31:36.28125	27
28-Mar-2024 14:24:20.03125	27
28-Mar-2024 14:24:04.03125	27
28-Mar-2024 14:23:38	27
28-Mar-2024 13:36:49.0625	27
28-Mar-2024 13:36:20.0625	27
28-Mar-2024 13:36:19.0625	28
28-Mar-2024 13:36:18.0625	27
28-Mar-2024 13:35:31.0625	27
28-Mar-2024 13:33:04.96875	27
28-Mar-2024 13:31:56.96875	27
28-Mar-2024 13:31:40.96875	28
28-Mar-2024 13:31:33.96875	27
28-Mar-2024 13:31:31.96875	28
28-Mar-2024 13:30:34.9375	27
28-Mar-2024 13:30:31.9375	27
28-Mar-2024 13:30:06.9375	27
28-Mar-2024 13:30:03.90625	28
28-Mar-2024 13:03:43.78125	28
28-Mar-2024 11:34:50.8125	28
28-Mar-2024 11:13:28.59375	29
28-Mar-2024 10:52:32.84375	29
28-Mar-2024 10:52:25.84375	29
28-Mar-2024 10:50:56.75	29
28-Mar-2024 10:50:54.75	29
28-Mar-2024 10:50:00.75	29
28-Mar-2024 10:49:50.75	29
28-Mar-2024 10:49:32.75	29
28-Mar-2024 10:49:18.75	29
28-Mar-2024 10:48:44.6875	29
28-Mar-2024 10:48:42.6875	29
28-Mar-2024 10:48:23.6875	29
28-Mar-2024 10:02:27.46875	30
28-Mar-2024 09:30:07.6875	31
28-Mar-2024 09:06:27.375	32
28-Mar-2024 08:41:47.34375	34
28-Mar-2024 08:29:24.65625	35
28-Mar-2024 08:23:34.5625	36
28-Mar-2024 08:23:25.5625	36
28-Mar-2024 08:23:09.5625	36
28-Mar-2024 08:18:19.4375	37
28-Mar-2024 08:16:00.40625	38
28-Mar-2024 08:11:37.125	37
28-Mar-2024 07:59:56.53125	36
28-Mar-2024 07:49:18.03125	35
28-Mar-2024 07:37:59.59375	33
28-Mar-2024 07:29:38.46875	32
28-Mar-2024 07:25:33.3125	30
28-Mar-2024 07:22:31.21875	29
28-Mar-2024 07:20:02.21875	26
28-Mar-2024 07:18:45.21875	24
28-Mar-2024 07:17:56.21875	23
28-Mar-2024 06:23:43.625	24
28-Mar-2024 06:23:41.625	23
28-Mar-2024 06:21:58.59375	24
28-Mar-2024 06:21:45.59375	24
28-Mar-2024 06:21:27.59375	23
28-Mar-2024 06:21:26.59375	24
28-Mar-2024 05:34:21	24
28-Mar-2024 04:36:50.4375	24
28-Mar-2024 03:09:13.125	25
28-Mar-2024 03:08:54.38901	Intf Shut
28-Mar-2024 03:08:53.125	25
28-Mar-2024 02:02:17.03125	26
28-Mar-2024 01:12:40.34375	27
28-Mar-2024 00:35:29.875	28
28-Mar-2024 00:35:27.84375	28
28-Mar-2024 00:33:20.78125	28
28-Mar-2024 00:33:18.78125	28
27-Mar-2024 23:47:45.625	29
27-Mar-2024 23:36:16.28125	29
27-Mar-2024 22:38:00.4375	31
27-Mar-2024 22:10:22.09375	32
27-Mar-2024 21:49:47.15625	34
27-Mar-2024 21:34:04.59375	36
27-Mar-2024 21:23:44.28125	38
27-Mar-2024 21:13:04.78125	37
27-Mar-2024 20:58:39.1875	37
27-Mar-2024 20:57:59.1875	37
27-Mar-2024 20:45:30.625	36
27-Mar-2024 20:15:51.15625	33
27-Mar-2024 20:04:12.46875	32
27-Mar-2024 20:00:24.34375	31
27-Mar-2024 19:56:30.25	30
27-Mar-2024 19:53:49.21875	27
27-Mar-2024 19:51:56.1875	25
27-Mar-2024 19:38:36.8125	25
27-Mar-2024 17:48:45.59375	26
27-Mar-2024 16:33:16.34375	26
27-Mar-2024 16:33:14.34375	26
27-Mar-2024 16:31:24.25	26
27-Mar-2024 16:31:09.25	26
27-Mar-2024 16:29:05.15625	26
27-Mar-2024 16:28:57.15625	26
27-Mar-2024 16:28:40.15625	26
27-Mar-2024 16:28:34.15625	26
27-Mar-2024 15:38:51.53125	27
27-Mar-2024 15:38:49.53125	27
27-Mar-2024 15:38:13.53125	27
27-Mar-2024 15:38:11.53125	26
27-Mar-2024 15:36:40.5	27
27-Mar-2024 15:36:38.5	26
27-Mar-2024 15:36:09.5	27
27-Mar-2024 15:36:07.5	27
27-Mar-2024 15:35:31.46875	27
27-Mar-2024 14:40:19.5	27
27-Mar-2024 14:39:34.4375	27
27-Mar-2024 14:37:14.3125	27
27-Mar-2024 13:49:07.1875	27
27-Mar-2024 13:49:04.1875	27
27-Mar-2024 13:40:48.6875	27
27-Mar-2024 12:03:36.90625	28
27-Mar-2024 10:25:10.625	29
27-Mar-2024 10:06:16.0625	29
27-Mar-2024 09:44:20.28125	30
27-Mar-2024 09:17:19.4375	30
27-Mar-2024 08:40:22.15625	31
27-Mar-2024 08:07:03.96875	32
27-Mar-2024 07:40:40.8125	34
27-Mar-2024 07:23:36.96875	35
27-Mar-2024 07:15:32.78125	37
27-Mar-2024 07:12:21.71875	38
27-Mar-2024 07:09:52.5625	38
27-Mar-2024 07:09:51.5625	38
27-Mar-2024 07:09:50.5625	38
27-Mar-2024 07:03:18.46875	38
27-Mar-2024 06:53:18.09375	37
27-Mar-2024 06:46:35.8125	36
27-Mar-2024 06:32:23.34375	35
27-Mar-2024 06:28:46.25	34
27-Mar-2024 06:16:29.9375	33
27-Mar-2024 06:16:28.9375	32
27-Mar-2024 06:14:03.78125	32
27-Mar-2024 06:10:19.625	30
27-Mar-2024 06:07:49.59375	29
27-Mar-2024 06:06:07.5625	27
27-Mar-2024 06:04:58.5	26
27-Mar-2024 04:34:52.34375	26
27-Mar-2024 04:32:17.25	26
27-Mar-2024 04:32:06.25	26
27-Mar-2024 04:32:05.25	26
27-Mar-2024 04:31:49.25	26
27-Mar-2024 04:31:47.25	26
27-Mar-2024 04:31:46.25	26
27-Mar-2024 04:31:14.21875	26
27-Mar-2024 04:31:06.21875	26
27-Mar-2024 04:30:22.21875	26
27-Mar-2024 04:30:20.21875	26
27-Mar-2024 04:30:14.21875	26
27-Mar-2024 04:30:13.21875	26
27-Mar-2024 04:29:36.21875	26
27-Mar-2024 04:10:31.375	26
27-Mar-2024 03:17:52.375	27
27-Mar-2024 03:11:31.1875	27
27-Mar-2024 03:11:23.1875	27
27-Mar-2024 03:11:22.1875	27
27-Mar-2024 03:10:47.15625	27
27-Mar-2024 02:21:49.1875	28
27-Mar-2024 02:21:45.1875	28
27-Mar-2024 02:21:17.1875	28
27-Mar-2024 02:21:09.1875	28
27-Mar-2024 02:21:01.1875	28
27-Mar-2024 02:20:54.1875	28
27-Mar-2024 02:20:18.15625	28
27-Mar-2024 02:20:16.15625	28
27-Mar-2024 02:19:19.15625	28
27-Mar-2024 02:19:17.15625	28
27-Mar-2024 01:34:59.96875	28
27-Mar-2024 00:52:30.6875	29
26-Mar-2024 23:44:14.25	30
26-Mar-2024 23:21:18.4375	30
26-Mar-2024 23:21:13.4375	30
26-Mar-2024 23:21:11.4375	30
26-Mar-2024 23:20:44.4375	30
26-Mar-2024 23:20:35.4375	30
26-Mar-2024 23:17:46.15625	30
26-Mar-2024 22:59:44.65625	30
26-Mar-2024 22:59:31.65625	30
26-Mar-2024 22:59:30.65625	30
26-Mar-2024 22:59:12.65625	30
26-Mar-2024 22:59:10.65625	30
26-Mar-2024 22:55:42.59375	30
26-Mar-2024 22:55:38.59375	30
