Name	\\HST1\T1.A26CBJ2
Data Type	Float 32
Number of Values	56990
Time	Value	Value Attributes
27-Mar-2024 04:16:31.65625	32
27-Mar-2024 02:05:43.375	32
27-Mar-2024 02:05:41.375	32
27-Mar-2024 01:50:31.65625	32
26-Mar-2024 21:15:27.6875	34
26-Mar-2024 19:41:16	35
26-Mar-2024 19:05:20.625	35
26-Mar-2024 17:52:23.84375	35
26-Mar-2024 16:52:44.78125	36
26-Mar-2024 16:23:15.78125	37
26-Mar-2024 16:13:09.34375	38
26-Mar-2024 16:13:07.34375	37
26-Mar-2024 16:12:54.3125	38
26-Mar-2024 16:12:50.3125	37
26-Mar-2024 16:04:41.09375	38
26-Mar-2024 16:04:38.09375	38
26-Mar-2024 16:01:39.0625	38
26-Mar-2024 15:54:23.6875	37
26-Mar-2024 15:26:18.9375	35
26-Mar-2024 15:17:02.46875	33
26-Mar-2024 15:12:18	32
26-Mar-2024 15:06:13.8125	32
26-Mar-2024 11:39:09.1875	32
26-Mar-2024 07:56:05.78125	32
26-Mar-2024 06:01:30.71875	33
26-Mar-2024 03:46:22.75	33
26-Mar-2024 02:54:47.78125	34
26-Mar-2024 01:02:27.84375	34
25-Mar-2024 23:49:49.03125	35
25-Mar-2024 23:28:45.34375	35
25-Mar-2024 22:10:37.53125	36
25-Mar-2024 22:10:16.53125	36
25-Mar-2024 22:10:15.53125	36
25-Mar-2024 22:09:39.53125	36
25-Mar-2024 21:51:51.625	36
25-Mar-2024 21:29:32.9375	36
25-Mar-2024 21:13:36.375	37
25-Mar-2024 20:49:28.78125	38
25-Mar-2024 20:33:26.09375	37
25-Mar-2024 20:14:07.3125	35
25-Mar-2024 20:04:34.78125	34
25-Mar-2024 19:59:35.65625	33
25-Mar-2024 19:57:13.625	32
25-Mar-2024 16:39:47.375	32
25-Mar-2024 10:17:39.40625	32
25-Mar-2024 10:17:27.40625	32
25-Mar-2024 08:26:20.0625	32
25-Mar-2024 08:26:18.0625	33
25-Mar-2024 08:13:17.6875	32
25-Mar-2024 04:42:13.25	34
25-Mar-2024 04:06:19.59375	34
25-Mar-2024 00:41:58.59375	35
25-Mar-2024 00:14:54.625	36
24-Mar-2024 23:56:15	36
24-Mar-2024 23:56:13	36
24-Mar-2024 23:40:02.34375	36
24-Mar-2024 23:27:07.03125	36
24-Mar-2024 23:04:30	37
24-Mar-2024 22:49:46.625	38
24-Mar-2024 22:49:42.625	38
24-Mar-2024 22:48:28.5625	38
24-Mar-2024 22:48:25.5625	38
24-Mar-2024 22:48:23.5625	38
24-Mar-2024 22:48:03.53125	38
24-Mar-2024 22:48:00.53125	38
24-Mar-2024 22:47:59.53125	38
24-Mar-2024 22:15:05.46875	35
24-Mar-2024 21:55:34.53125	34
24-Mar-2024 21:50:01.375	32
24-Mar-2024 21:49:21.34375	32
24-Mar-2024 19:14:21.71875	32
24-Mar-2024 19:14:02.71875	33
24-Mar-2024 17:35:33.4375	33
24-Mar-2024 15:10:28.5	33
24-Mar-2024 12:00:04.125	33
24-Mar-2024 09:12:06.71875	34
24-Mar-2024 06:45:34.28125	35
24-Mar-2024 03:43:01.90625	36
24-Mar-2024 03:40:29.875	36
24-Mar-2024 03:16:13.0625	36
24-Mar-2024 03:16:11.0625	36
24-Mar-2024 03:14:42.03125	36
24-Mar-2024 03:13:58.03125	36
24-Mar-2024 03:13:48	36
24-Mar-2024 03:13:29	36
24-Mar-2024 02:23:31.65625	37
24-Mar-2024 01:57:00.09375	37
24-Mar-2024 01:56:57.09375	37
24-Mar-2024 01:52:09.875	38
24-Mar-2024 01:45:39.59375	38
24-Mar-2024 01:45:21.59375	38
24-Mar-2024 01:45:20.59375	38
24-Mar-2024 01:41:41.3125	38
24-Mar-2024 01:34:04.90625	37
24-Mar-2024 01:33:57.90625	38
24-Mar-2024 01:24:01.625	37
24-Mar-2024 01:23:56.625	37
24-Mar-2024 01:12:10.375	36
24-Mar-2024 01:12:01.375	36
24-Mar-2024 01:12:00.375	36
24-Mar-2024 01:11:52.375	36
24-Mar-2024 01:11:31.375	36
24-Mar-2024 01:11:26.375	36
24-Mar-2024 01:11:24.375	36
24-Mar-2024 01:01:20.8125	35
24-Mar-2024 00:57:36.71875	35
24-Mar-2024 00:57:12.71875	35
24-Mar-2024 00:54:18.625	35
24-Mar-2024 00:47:49.34375	34
24-Mar-2024 00:46:20.28125	34
23-Mar-2024 23:32:40.5	34
23-Mar-2024 20:59:13.625	34
23-Mar-2024 16:47:45.65625	35
23-Mar-2024 16:47:32.65625	35
23-Mar-2024 16:47:31.65625	35
23-Mar-2024 16:45:25.59375	35
23-Mar-2024 16:45:10.59375	35
23-Mar-2024 16:42:20.4375	35
23-Mar-2024 16:42:18.4375	35
23-Mar-2024 15:44:40.40625	35
23-Mar-2024 12:27:52.15625	35
23-Mar-2024 12:27:51.15625	35
23-Mar-2024 12:26:42.09375	35
23-Mar-2024 11:28:55.78125	35
23-Mar-2024 11:28:51.16701	Intf Shut
23-Mar-2024 11:28:49.78125	35
23-Mar-2024 07:06:41.21875	36
23-Mar-2024 07:06:39.21875	36
23-Mar-2024 05:34:26.46875	36
23-Mar-2024 02:57:53.03125	37
23-Mar-2024 02:04:36.40625	37
23-Mar-2024 02:04:34.40625	37
23-Mar-2024 02:04:33.40625	37
23-Mar-2024 02:04:18.40625	37
23-Mar-2024 01:59:02.1875	37
23-Mar-2024 01:58:54.1875	37
23-Mar-2024 00:48:07.46875	37
23-Mar-2024 00:48:06.46875	37
23-Mar-2024 00:45:19	37
23-Mar-2024 00:45:13	37
23-Mar-2024 00:43:45.90625	37
23-Mar-2024 00:43:37.90625	37
23-Mar-2024 00:43:29.90625	37
23-Mar-2024 00:41:54.78125	37
22-Mar-2024 23:38:53.3125	37
22-Mar-2024 23:36:31.1875	37
22-Mar-2024 21:05:50.6875	38
22-Mar-2024 21:05:49.6875	38
22-Mar-2024 21:02:48.53125	38
22-Mar-2024 20:58:11.46875	38
22-Mar-2024 20:58:08.46875	38
22-Mar-2024 20:57:08.46875	38
22-Mar-2024 20:57:00.46875	38
22-Mar-2024 20:54:33.46875	38
22-Mar-2024 20:54:31.46875	38
22-Mar-2024 20:53:32.375	38
22-Mar-2024 20:53:30.375	38
22-Mar-2024 20:51:38.1875	38
22-Mar-2024 20:51:35.1875	38
22-Mar-2024 20:50:25	38
22-Mar-2024 20:50:11	38
22-Mar-2024 20:48:55.90625	38
22-Mar-2024 20:48:47.90625	38
22-Mar-2024 20:48:02.875	38
22-Mar-2024 20:47:56.875	38
22-Mar-2024 20:47:39.875	38
22-Mar-2024 20:47:31.875	38
22-Mar-2024 20:47:30.875	38
22-Mar-2024 20:46:24.875	38
22-Mar-2024 20:46:21.875	38
22-Mar-2024 20:45:39.84375	38
22-Mar-2024 20:45:29.84375	38
22-Mar-2024 20:44:51.8125	38
22-Mar-2024 20:44:44.8125	38
22-Mar-2024 20:43:54.78125	38
22-Mar-2024 20:43:41.78125	38
22-Mar-2024 20:43:40.78125	38
22-Mar-2024 20:25:58.5625	38
22-Mar-2024 13:48:38.65625	39
22-Mar-2024 13:48:35.65625	39
22-Mar-2024 11:24:42.1875	39
22-Mar-2024 10:45:18.0625	39
22-Mar-2024 10:45:09.0625	39
22-Mar-2024 10:44:45	39
22-Mar-2024 10:44:38	39
22-Mar-2024 10:34:38.59375	39
22-Mar-2024 10:34:16.5625	39
22-Mar-2024 10:34:15.5625	39
22-Mar-2024 08:49:11.28125	39
22-Mar-2024 08:22:45.59375	40
22-Mar-2024 08:22:39.59375	40
22-Mar-2024 08:20:24.5625	40
22-Mar-2024 08:13:26.15625	40
22-Mar-2024 08:12:56.15625	39
22-Mar-2024 08:12:28.15625	40
22-Mar-2024 08:12:17.15625	39
22-Mar-2024 08:11:59.15625	40
22-Mar-2024 08:11:50.15625	39
22-Mar-2024 08:11:49.15625	40
22-Mar-2024 08:09:50.09375	40
22-Mar-2024 08:09:48.09375	39
22-Mar-2024 08:09:46.09375	40
22-Mar-2024 08:08:31.03125	40
22-Mar-2024 08:08:10.03125	39
22-Mar-2024 08:08:08.03125	40
22-Mar-2024 08:07:07.96875	40
22-Mar-2024 08:06:44.96875	39
22-Mar-2024 08:06:43.96875	40
22-Mar-2024 08:01:35.75	40
22-Mar-2024 08:01:33.75	40
22-Mar-2024 08:00:36.59375	40
22-Mar-2024 08:00:33.59375	39
22-Mar-2024 07:59:47.4375	40
