Name	\\HST1\T1.BB2
Data Type	Float 32
Number of Values	10736
Time	Value	Value Attributes
30-Mar-2024 03:52:56.3125	-0.1
30-Mar-2024 02:12:53.625	-0.1
29-Mar-2024 18:22:23.5	-0.1
29-Mar-2024 10:32:00.34375	-0.1
29-Mar-2024 02:40:28.5	-0.1
28-Mar-2024 18:50:04.4375	-0.1
28-Mar-2024 10:59:36.15625	-0.1
28-Mar-2024 03:09:13.125	-0.1
28-Mar-2024 03:08:54.38901	Intf Shut
28-Mar-2024 01:29:59.90625	-0.1
27-Mar-2024 17:39:33.28125	-0.1
27-Mar-2024 09:49:12.5	-0.1
27-Mar-2024 01:58:46.125	-0.1
26-Mar-2024 18:01:48.46875	-0.1
26-Mar-2024 10:11:25.125	-0.1
26-Mar-2024 02:21:00.625	-0.1
25-Mar-2024 18:30:38.75	-0.1
25-Mar-2024 10:32:30.15625	-0.1
25-Mar-2024 02:42:02.34375	-0.1
24-Mar-2024 18:51:39.90625	-0.1
24-Mar-2024 11:01:18.96875	-0.1
24-Mar-2024 03:10:52.90625	-0.1
23-Mar-2024 19:20:29.75	-0.1
23-Mar-2024 11:28:55.78125	-0.1
23-Mar-2024 11:28:51.16701	Intf Shut
23-Mar-2024 05:20:26.59375	-0.1
22-Mar-2024 21:29:58.0625	-0.1
22-Mar-2024 13:39:19.1875	0.0
22-Mar-2024 13:39:17.1875	-0.1
22-Mar-2024 12:26:13.65625	-0.2
22-Mar-2024 04:27:41.90625	0.0
22-Mar-2024 04:27:31.90625	0.8
22-Mar-2024 04:27:28.90625	0.2
22-Mar-2024 04:27:08.90625	0.1
22-Mar-2024 04:27:02.90625	0.6
22-Mar-2024 04:26:57.90625	1.8
22-Mar-2024 04:26:56.90625	3.0
22-Mar-2024 04:26:55.90625	4.9
22-Mar-2024 04:26:54.90625	6.0
22-Mar-2024 04:26:53.90625	4.0
22-Mar-2024 04:26:52.90625	2.5
22-Mar-2024 04:26:51.90625	1.7
22-Mar-2024 04:26:50.90625	1.4
22-Mar-2024 04:26:49.90625	1.5
22-Mar-2024 04:26:48.90625	2.4
22-Mar-2024 04:26:47.90625	3.7
22-Mar-2024 04:23:52.8125	3.3
22-Mar-2024 04:22:24.8125	3.3
22-Mar-2024 04:22:11.8125	4.3
22-Mar-2024 04:22:07.8125	3.3
22-Mar-2024 04:22:05.8125	3.2
22-Mar-2024 04:22:01.78125	5.9
22-Mar-2024 04:22:00.78125	6.0
22-Mar-2024 04:21:58.75	4.2
22-Mar-2024 04:21:54.75	4.3
22-Mar-2024 04:21:52.75	5.1
22-Mar-2024 04:20:20.6875	4.7
22-Mar-2024 04:18:57.59375	4.8
22-Mar-2024 04:11:59.15625	4.4
22-Mar-2024 04:10:51.125	4.4
22-Mar-2024 04:03:27.90625	3.8
22-Mar-2024 03:59:27.71875	3.5
22-Mar-2024 03:52:30.34375	3.3
22-Mar-2024 03:51:44.28125	2.7
22-Mar-2024 03:51:11.28125	2.8
22-Mar-2024 03:50:37.28125	2.2
22-Mar-2024 02:27:28.21875	2.0
22-Mar-2024 01:10:59.0625	1.8
22-Mar-2024 00:56:10.03125	1.8
22-Mar-2024 00:26:03.09375	1.7
21-Mar-2024 21:53:51.0625	1.7
21-Mar-2024 21:36:54.15625	1.7
21-Mar-2024 19:18:48.6875	1.8
21-Mar-2024 18:23:21.125	1.8
21-Mar-2024 17:09:30.65625	1.9
21-Mar-2024 14:28:25.53125	1.9
21-Mar-2024 13:05:33.8125	1.9
21-Mar-2024 11:33:41.5625	2.0
21-Mar-2024 07:55:47.71875	2.1
21-Mar-2024 03:10:19.25	2.0
21-Mar-2024 01:09:22.0625	1.7
21-Mar-2024 00:06:53.34375	1.7
20-Mar-2024 23:43:14.1875	1.7
20-Mar-2024 23:17:11.84375	1.6
20-Mar-2024 21:50:17.875	1.7
20-Mar-2024 21:32:11.875	1.7
20-Mar-2024 20:54:17.0625	1.7
20-Mar-2024 20:03:28.6875	1.6
20-Mar-2024 18:57:47.5625	1.6
20-Mar-2024 18:27:59.1875	1.7
20-Mar-2024 17:37:10.9375	1.7
20-Mar-2024 16:53:59.0625	1.9
20-Mar-2024 15:36:28.0625	1.8
20-Mar-2024 15:08:59.6875	1.9
20-Mar-2024 14:17:21.5	1.9
20-Mar-2024 13:38:48.25	2.0
20-Mar-2024 13:02:49.125	2.0
20-Mar-2024 10:37:13.59375	2.1
20-Mar-2024 07:15:40.71875	2.2
20-Mar-2024 02:42:42.21875	2.1
20-Mar-2024 02:04:48.0625	1.8
