Name	\\HST1\T3.PTVIB_B
Data Type	Float 32
Number of Values	1339
Time	Value	Value Attributes
23-Mar-2024 08:06:52.16768	6.6
23-Mar-2024 07:56:52.26248	7.0
23-Mar-2024 07:56:51.30263	6.5
23-Mar-2024 07:46:51.39642	6.8
23-Mar-2024 07:46:50.43657	6.5
23-Mar-2024 07:36:50.53137	6.7
23-Mar-2024 07:36:49.25157	6.8
23-Mar-2024 07:26:49.34537	6.7
23-Mar-2024 07:26:48.70546	6.6
23-Mar-2024 07:16:48.80026	6.5
23-Mar-2024 07:16:47.84041	6.5
23-Mar-2024 07:06:47.93521	6.8
23-Mar-2024 07:06:46.65541	6.5
23-Mar-2024 06:56:46.74921	6.4
23-Mar-2024 06:56:46.1093	6.4
23-Mar-2024 06:46:46.2041	6.6
23-Mar-2024 06:46:44.9243	6.4
23-Mar-2024 06:36:45.0181	6.8
23-Mar-2024 06:36:42.13853	6.6
22-Mar-2024 23:18:48.83096	5.8
22-Mar-2024 15:28:06.87065	6.7
22-Mar-2024 07:37:24.59338	5.8
21-Mar-2024 23:46:43.91386	6.3
21-Mar-2024 15:56:01.95454	6.6
21-Mar-2024 08:05:19.99722	6.0
21-Mar-2024 00:14:38.99876	5.6
20-Mar-2024 16:23:57.03944	6.4
20-Mar-2024 08:33:16.04497	5.9
20-Mar-2024 00:42:34.09966	5.6
19-Mar-2024 16:51:53.07803	6.9
19-Mar-2024 16:01:49.75278	6.6
19-Mar-2024 08:11:10.05411	5.9
19-Mar-2024 00:20:28.11478	5.4
18-Mar-2024 16:29:48.09416	7.0
18-Mar-2024 08:39:05.8369	6.4
18-Mar-2024 00:48:25.17838	6.0
17-Mar-2024 16:57:43.23706	6.9
17-Mar-2024 09:07:02.27058	6.0
17-Mar-2024 01:16:21.62207	5.3
16-Mar-2024 17:25:39.37679	7.2
16-Mar-2024 09:34:58.71527	6.0
16-Mar-2024 01:44:16.75995	5.5
15-Mar-2024 17:53:34.79663	7.0
15-Mar-2024 10:02:52.86832	6.4
15-Mar-2024 02:12:12.8327	5.7
14-Mar-2024 18:21:30.86838	7.0
14-Mar-2024 10:30:49.21901	6.4
14-Mar-2024 02:40:08.20654	5.9
13-Mar-2024 18:49:26.25023	7.1
13-Mar-2024 10:58:44.29691	6.6
13-Mar-2024 03:08:03.6194	6.1
12-Mar-2024 19:17:21.66507	7.4
12-Mar-2024 11:26:40.35365	6.8
12-Mar-2024 03:35:58.71629	6.1
11-Mar-2024 19:45:16.75497	7.5
11-Mar-2024 11:54:34.78766	6.8
11-Mar-2024 04:03:52.82033	5.9
10-Mar-2024 20:13:10.85002	8.1
10-Mar-2024 12:22:29.84656	7.4
10-Mar-2024 04:31:47.86923	5.2
9-Mar-2024 19:41:05.89592	6.1
9-Mar-2024 11:50:23.92461	5.8
9-Mar-2024 03:59:41.95128	5.1
8-Mar-2024 20:08:59.97997	6.2
8-Mar-2024 12:18:19.92836	6.2
8-Mar-2024 04:27:37.95604	4.9
7-Mar-2024 20:36:56.94357	6.0
7-Mar-2024 12:46:14.98926	7.3
7-Mar-2024 04:55:33.98779	5.7
6-Mar-2024 21:04:52.01646	6.7
6-Mar-2024 13:14:10.04715	7.8
6-Mar-2024 05:23:29.03668	6.8
5-Mar-2024 21:32:48.34518	7.2
5-Mar-2024 13:42:07.34171	7.7
5-Mar-2024 05:51:26.0123	6.7
4-Mar-2024 22:00:44.36293	7.6
4-Mar-2024 14:10:05.59312	7.3
4-Mar-2024 06:19:25.54451	6.7
3-Mar-2024 22:28:45.17494	6.5
3-Mar-2024 14:38:04.49043	7.3
3-Mar-2024 06:47:24.76677	6.2
2-Mar-2024 22:56:43.43736	6.0
2-Mar-2024 15:06:01.47504	7.3
2-Mar-2024 07:15:20.47157	6.7
1-Mar-2024 23:24:38.50726	6.4
1-Mar-2024 15:33:56.54395	8.1
1-Mar-2024 07:43:14.90356	6.9
29-Feb-2024 23:52:33.89911	6.6
29-Feb-2024 16:01:51.61583	7.6
29-Feb-2024 08:11:10.29242	7.6
29-Feb-2024 00:20:28.3181	6.2
28-Feb-2024 16:29:47.00768	6.9
28-Feb-2024 08:39:07.30103	6.6
28-Feb-2024 00:48:25.31671	5.8
27-Feb-2024 16:57:44.93614	7.1
27-Feb-2024 09:07:02.95483	6.8
27-Feb-2024 01:16:22.25131	5.7
26-Feb-2024 17:25:41.22986	7.2
26-Feb-2024 09:34:59.24754	6.2
26-Feb-2024 01:44:17.26323	6.1
25-Feb-2024 17:53:35.28891	7.1
25-Feb-2024 10:02:53.31059	6.4
25-Feb-2024 02:12:12.30713	6.1
24-Feb-2024 18:21:31.62161	7.1
24-Feb-2024 10:30:51.561	6.5
24-Feb-2024 02:40:09.28773	5.7
23-Feb-2024 18:49:28.60323	6.6
23-Feb-2024 10:58:47.58676	6.4
23-Feb-2024 03:08:06.89424	5.6
22-Feb-2024 19:17:25.88278	6.8
22-Feb-2024 11:26:43.91347	6.3
22-Feb-2024 03:36:01.95415	7.7
21-Feb-2024 19:45:19.99283	6.8
21-Feb-2024 11:54:38.98236	6.7
21-Feb-2024 04:03:57.9919	8.2
21-Feb-2024 02:48:35.82388	6.3
21-Feb-2024 00:30:39.36638	0.6
20-Feb-2024 16:39:58.36092	0.7
20-Feb-2024 08:49:17.34645	0.6
20-Feb-2024 00:58:36.67093	0.7
19-Feb-2024 17:07:54.38467	0.7
19-Feb-2024 09:17:13.68816	0.7
19-Feb-2024 01:26:31.72884	0.7
18-Feb-2024 17:35:49.76552	0.7
18-Feb-2024 09:45:07.7892	0.6
18-Feb-2024 01:52:39.92209	0.7
17-Feb-2024 18:01:58.59868	0.7
17-Feb-2024 10:11:17.90515	0.7
17-Feb-2024 02:20:36.91269	0.7
16-Feb-2024 18:29:54.95038	0.7
16-Feb-2024 10:39:12.97206	0.9
16-Feb-2024 02:48:31.00374	0.6
15-Feb-2024 18:57:50.00328	0.8
15-Feb-2024 11:07:08.02896	0.8
15-Feb-2024 03:16:26.06364	0.7
14-Feb-2024 19:25:44.10233	0.6
14-Feb-2024 11:35:02.129	0.7
14-Feb-2024 03:44:20.17369	0.7
13-Feb-2024 19:53:40.46303	0.7
13-Feb-2024 12:02:59.46556	0.8
13-Feb-2024 04:12:18.47209	0.7
12-Feb-2024 20:21:37.48262	0.6
12-Feb-2024 12:30:56.80211	0.7
12-Feb-2024 04:40:15.81564	0.6
11-Feb-2024 20:49:33.86432	0.6
11-Feb-2024 12:58:51.916	0.7
11-Feb-2024 05:08:09.96468	1.0
10-Feb-2024 21:17:28.9752	0.7
10-Feb-2024 13:26:47.01489	0.7
10-Feb-2024 05:36:05.05957	0.6
9-Feb-2024 21:45:23.10425	0.7
9-Feb-2024 13:54:42.11278	0.7
9-Feb-2024 06:04:02.06517	0.8
8-Feb-2024 22:13:20.11285	0.7
8-Feb-2024 14:22:38.48149	0.7
8-Feb-2024 06:31:58.44687	0.9
7-Feb-2024 22:41:16.49956	0.7
7-Feb-2024 14:50:34.56123	1.0
7-Feb-2024 06:59:53.58176	0.7
6-Feb-2024 23:09:11.64143	0.7
