Name	\\HST1\T1.BB1
Data Type	Float 32
Number of Values	1403
Time	Value	Value Attributes
27-Feb-2024 17:38:38.5	0.4
27-Feb-2024 09:46:19.4375	0.4
27-Feb-2024 03:36:19.03125	0.5
26-Feb-2024 19:43:23.75	0.4
26-Feb-2024 11:51:29.5	0.4
26-Feb-2024 03:53:33.875	0.5
26-Feb-2024 01:13:26.59375	0.6
25-Feb-2024 17:14:17.59375	0.5
25-Feb-2024 13:59:00.34375	0.4
25-Feb-2024 06:06:36.0625	0.4
24-Feb-2024 22:09:15.25	0.4
24-Feb-2024 14:09:51.6875	0.4
24-Feb-2024 06:13:14	0.5
24-Feb-2024 02:08:48.78125	0.4
23-Feb-2024 18:13:01.46875	0.3
23-Feb-2024 10:13:05.9375	0.5
23-Feb-2024 02:20:51.625	0.6
22-Feb-2024 18:24:31.6875	0.5
22-Feb-2024 10:27:44.5	0.6
22-Feb-2024 08:59:25.8125	0.8
22-Feb-2024 04:55:35.75	0.9
21-Feb-2024 21:02:40.71875	0.9
21-Feb-2024 13:07:33.40625	0.8
21-Feb-2024 07:39:10.96875	0.5
21-Feb-2024 07:30:01.5625	0.4
21-Feb-2024 02:16:30.375	0.5
20-Feb-2024 22:36:34.46875	0.4
20-Feb-2024 20:23:56.78125	0.3
20-Feb-2024 15:23:27.78125	0.3
20-Feb-2024 11:51:32.78125	0.3
20-Feb-2024 05:02:01.5625	0.3
19-Feb-2024 21:04:06.21875	0.5
19-Feb-2024 14:52:01.875	0.3
19-Feb-2024 06:53:41.28125	0.3
18-Feb-2024 22:57:37.6875	0.4
18-Feb-2024 14:58:16.90625	0.3
18-Feb-2024 08:39:26.59375	0.4
18-Feb-2024 00:39:27.125	0.6
17-Feb-2024 18:02:09.25	0.6
17-Feb-2024 10:03:00.84375	0.5
17-Feb-2024 02:04:31.28125	0.4
16-Feb-2024 18:12:22.1875	0.4
16-Feb-2024 10:16:56.03125	0.4
16-Feb-2024 02:26:47.3125	0.4
16-Feb-2024 00:51:58.3125	0.6
15-Feb-2024 18:39:51.5	0.3
15-Feb-2024 11:52:54.0625	0.3
15-Feb-2024 04:00:36.40625	0.3
14-Feb-2024 20:03:03.9375	0.5
14-Feb-2024 12:04:06.46875	0.3
14-Feb-2024 07:42:44.09375	0.8
14-Feb-2024 04:51:03.4375	0.9
14-Feb-2024 03:17:54.90625	1.4
14-Feb-2024 03:17:34.90625	1.7
14-Feb-2024 03:11:06.5	1.9
14-Feb-2024 02:58:00.59375	2.2
14-Feb-2024 02:55:30.59375	1.6
14-Feb-2024 02:55:25.59375	1.1
14-Feb-2024 02:55:18.59375	1.3
14-Feb-2024 02:55:16.59375	2.6
14-Feb-2024 02:55:15.59375	1.7
14-Feb-2024 02:55:12.59375	3.0
14-Feb-2024 02:55:11.59375	2.3
14-Feb-2024 02:55:09.59375	2.0
14-Feb-2024 02:55:07.59375	1.2
14-Feb-2024 02:55:02.59375	0.7
14-Feb-2024 02:54:56.59375	0.2
14-Feb-2024 02:54:54.59375	0.8
14-Feb-2024 02:54:52.59375	2.4
14-Feb-2024 02:54:51.59375	1.0
14-Feb-2024 02:54:50.59375	0.4
14-Feb-2024 02:54:48.59375	0.1
14-Feb-2024 02:54:27.59375	-0.1
14-Feb-2024 02:54:25.59375	-0.2
13-Feb-2024 22:18:05	-0.2
13-Feb-2024 14:27:31	-0.2
13-Feb-2024 06:36:57.28125	-0.2
12-Feb-2024 22:46:24.40625	-0.2
12-Feb-2024 14:49:30.0625	-0.2
12-Feb-2024 06:58:57.96875	-0.2
11-Feb-2024 23:08:23.65625	-0.2
11-Feb-2024 15:17:46.8125	-0.2
11-Feb-2024 07:27:13.96875	-0.2
10-Feb-2024 23:36:44.875	-0.2
10-Feb-2024 15:46:12.8125	-0.2
10-Feb-2024 07:55:40.875	-0.2
10-Feb-2024 00:05:07.9375	-0.2
9-Feb-2024 16:14:50.34375	-0.2
9-Feb-2024 08:22:34.53125	-0.2
9-Feb-2024 00:32:09.6875	-0.2
8-Feb-2024 16:34:12.78125	-0.2
8-Feb-2024 08:43:51.0625	-0.2
8-Feb-2024 00:53:22.96875	-0.2
7-Feb-2024 17:02:57.5625	-0.2
7-Feb-2024 09:04:40.75	-0.2
7-Feb-2024 01:14:22.875	-0.2
6-Feb-2024 17:23:56.71875	-0.2
6-Feb-2024 09:33:31.5	-0.2
6-Feb-2024 01:43:02.625	-0.2
5-Feb-2024 17:52:41.6875	-0.2
5-Feb-2024 10:02:21.46875	-0.2
5-Feb-2024 02:11:55.1875	-0.2
4-Feb-2024 18:21:31.875	-0.2
4-Feb-2024 10:24:37.09375	-0.2
4-Feb-2024 02:34:13.1875	-0.2
3-Feb-2024 18:43:52.875	-0.2
3-Feb-2024 10:53:27.9375	-0.2
3-Feb-2024 03:03:04.53125	-0.2
2-Feb-2024 19:12:40.5625	-0.2
2-Feb-2024 11:22:18.09375	-0.2
2-Feb-2024 03:31:54.53125	-0.2
1-Feb-2024 19:41:38.3125	-0.2
1-Feb-2024 11:51:12.28125	-0.2
1-Feb-2024 04:00:46.125	-0.2
31-Jan-2024 20:10:20.40625	-0.2
31-Jan-2024 12:20:00.46875	-0.2
31-Jan-2024 04:29:36.03125	-0.2
30-Jan-2024 20:39:08.40625	-0.2
30-Jan-2024 12:48:42.875	-0.2
30-Jan-2024 04:58:20.03125	-0.2
29-Jan-2024 21:07:59.0625	-0.2
29-Jan-2024 13:17:39.21875	-0.2
29-Jan-2024 13:17:32.21875	Bad
29-Jan-2024 06:29:23.53125	-0.2
29-Jan-2024 06:29:20.705	Intf Shut
29-Jan-2024 06:05:47.3125	-0.2
29-Jan-2024 06:05:47.3125	-0.2
28-Jan-2024 22:15:21.0625	-0.2
28-Jan-2024 14:24:54.9375	-0.2
28-Jan-2024 06:34:34.4375	-0.2
27-Jan-2024 22:44:07.65625	-0.2
27-Jan-2024 14:53:41.21875	-0.2
27-Jan-2024 07:03:20.59375	-0.2
26-Jan-2024 23:05:52.375	-0.2
26-Jan-2024 15:15:26.5625	-0.2
26-Jan-2024 07:19:31.09375	-0.2
25-Jan-2024 23:29:04.09375	-0.2
25-Jan-2024 15:38:40.96875	-0.2
25-Jan-2024 07:48:15.9375	-0.2
24-Jan-2024 23:50:17	-0.2
24-Jan-2024 15:59:51.125	-0.2
24-Jan-2024 08:09:23.375	-0.2
24-Jan-2024 08:09:15.259	Intf Shut
24-Jan-2024 08:08:17.34375	-0.2
16-Jan-2024 14:06:48.5625	-0.2
16-Jan-2024 10:26:38.0625	-0.2
16-Jan-2024 02:36:10.53125	-0.2
15-Jan-2024 18:45:41.875	-0.2
15-Jan-2024 10:55:19.0625	-0.2
15-Jan-2024 03:04:53.8125	-0.2
14-Jan-2024 19:14:22.96875	-0.2
14-Jan-2024 11:23:48.46875	-0.2
14-Jan-2024 03:29:16.03125	-0.2
13-Jan-2024 19:38:42.875	-0.2
13-Jan-2024 11:40:41.53125	-0.2
13-Jan-2024 03:50:13.84375	-0.2
12-Jan-2024 19:59:41.15625	-0.2
12-Jan-2024 12:01:37.4375	-0.2
12-Jan-2024 04:11:00.46875	-0.2
11-Jan-2024 20:20:27.375	-0.2
11-Jan-2024 12:30:00.5	-0.2
11-Jan-2024 04:37:02.125	-0.2
10-Jan-2024 20:46:31.28125	-0.2
10-Jan-2024 12:56:04.90625	-0.2
10-Jan-2024 05:05:32.46875	-0.2
9-Jan-2024 21:15:01.90625	-0.2
9-Jan-2024 13:24:33.5625	-0.2
9-Jan-2024 05:34:05.03125	-0.2
8-Jan-2024 21:40:46.125	-0.2
8-Jan-2024 13:46:12.1875	-0.2
8-Jan-2024 05:55:48.8125	-0.2
7-Jan-2024 22:05:16.75	-0.2
7-Jan-2024 14:12:08.21875	-0.2
7-Jan-2024 06:21:34.65625	-0.2
6-Jan-2024 22:30:59.875	-0.2
6-Jan-2024 14:40:28.96875	-0.2
6-Jan-2024 06:50:00.46875	-0.2
5-Jan-2024 22:59:26.90625	-0.2
5-Jan-2024 15:08:52.3125	-0.2
5-Jan-2024 07:18:16.90625	-0.2
4-Jan-2024 23:27:45.5625	-0.2
4-Jan-2024 15:30:44.5	-0.2
4-Jan-2024 07:40:17.40625	-0.2
3-Jan-2024 23:49:50.375	-0.2
3-Jan-2024 15:59:21.28125	-0.2
3-Jan-2024 08:08:51.375	-0.2
3-Jan-2024 00:14:39	-0.2
2-Jan-2024 16:24:12.5	-0.2
2-Jan-2024 08:31:00.03125	-0.2
2-Jan-2024 00:40:29.71875	-0.2
1-Jan-2024 16:50:06.71875	-0.2
1-Jan-2024 08:59:47.1875	-0.2
1-Jan-2024 01:09:27.75	-0.2
31-Dec-2023 17:19:00.90625	-0.2
31-Dec-2023 09:28:34.40625	-0.2
31-Dec-2023 01:38:11.75	-0.2
30-Dec-2023 17:47:46.9375	-0.2
30-Dec-2023 09:57:22.21875	-0.2
30-Dec-2023 02:06:50.875	-0.2
