Name	\\HST1\T1.A26BJ2A
Data Type	Float 32
Number of Values	57655
Time	Value	Value Attributes
28-Mar-2024 14:06:39.3125	29
28-Mar-2024 12:44:06.90625	30
28-Mar-2024 12:17:37.90625	31
28-Mar-2024 12:17:24.90625	31
28-Mar-2024 11:41:44.125	31
28-Mar-2024 10:38:19.34375	32
28-Mar-2024 10:28:32.90625	33
28-Mar-2024 09:57:37.34375	34
28-Mar-2024 09:17:41.09375	35
28-Mar-2024 08:48:27.53125	36
28-Mar-2024 08:29:20.65625	38
28-Mar-2024 08:29:18.65625	38
28-Mar-2024 08:23:49.5625	39
28-Mar-2024 08:16:53.40625	40
28-Mar-2024 08:15:55.40625	40
28-Mar-2024 08:12:25.15625	40
28-Mar-2024 08:12:23.15625	40
28-Mar-2024 07:53:58.40625	38
28-Mar-2024 07:35:57.59375	36
28-Mar-2024 07:23:24.28125	35
28-Mar-2024 07:20:37.21875	34
28-Mar-2024 07:19:08.21875	33
28-Mar-2024 07:18:40.21875	32
28-Mar-2024 07:18:24.21875	31
28-Mar-2024 07:18:10.21875	29
28-Mar-2024 07:17:56.21875	26
28-Mar-2024 07:17:47.21875	25
28-Mar-2024 07:17:29.1875	23
28-Mar-2024 05:01:52.8125	23
28-Mar-2024 03:09:13.125	24
28-Mar-2024 03:08:54.38901	Intf Shut
28-Mar-2024 03:08:53.125	24
28-Mar-2024 02:42:31.40625	24
28-Mar-2024 02:42:21.40625	24
28-Mar-2024 02:41:50.375	24
28-Mar-2024 02:41:49.375	24
28-Mar-2024 02:22:03.5	24
28-Mar-2024 02:07:54.15625	24
28-Mar-2024 02:07:46.15625	24
28-Mar-2024 02:07:45.15625	24
28-Mar-2024 02:07:39.125	24
28-Mar-2024 02:07:38.125	24
28-Mar-2024 01:59:24	24
28-Mar-2024 01:08:35.1875	26
28-Mar-2024 01:03:21	26
28-Mar-2024 00:21:47.25	27
28-Mar-2024 00:21:40.25	27
28-Mar-2024 00:13:17.65625	27
27-Mar-2024 23:30:32.03125	29
27-Mar-2024 23:01:25.90625	31
27-Mar-2024 23:01:14.90625	31
27-Mar-2024 22:55:44.71875	31
27-Mar-2024 22:46:05.53125	32
27-Mar-2024 22:17:14.28125	33
27-Mar-2024 21:52:31.3125	36
27-Mar-2024 21:46:51	36
27-Mar-2024 21:42:05.84375	37
27-Mar-2024 21:31:09.46875	38
