Date,Time,T3_PTVIB_A
1-Jun-2023,19:56:40.26767,0.8
2-Jun-2023,03:47:22.22998,0.7
2-Jun-2023,11:38:02.9075,0.7
2-Jun-2023,19:28:44.21692,0.7
3-Jun-2023,03:19:23.29868,0.7
3-Jun-2023,11:10:03.9632,0.7
3-Jun-2023,19:00:45.90552,0.7
4-Jun-2023,02:51:26.58403,0.8
4-Jun-2023,10:42:07.89244,0.8
4-Jun-2023,18:32:49.84076,0.8
5-Jun-2023,02:23:31.79408,0.8
5-Jun-2023,10:14:11.49475,0.8
5-Jun-2023,18:04:53.44907,0.7
6-Jun-2023,01:55:35.4054,0.8
6-Jun-2023,09:46:16.70581,0.7
6-Jun-2023,17:36:57.36034,0.8
7-Jun-2023,01:27:38.3578,0.7
7-Jun-2023,09:18:20.29611,0.8
7-Jun-2023,17:09:02.24644,0.8
8-Jun-2023,00:59:43.23291,0.8
8-Jun-2023,08:50:22.93257,0.8
8-Jun-2023,16:41:04.24098,0.7
9-Jun-2023,00:31:44.92151,0.7
9-Jun-2023,08:22:26.22092,0.8
9-Jun-2023,16:13:08.16025,0.7
10-Jun-2023,00:03:50.10757,0.8
10-Jun-2023,07:54:29.83423,0.8
10-Jun-2023,15:45:09.85684,0.7
10-Jun-2023,23:35:50.84232,0.7
11-Jun-2023,07:26:31.82079,0.7
11-Jun-2023,15:17:12.80025,0.7
11-Jun-2023,23:07:52.83186,0.7
12-Jun-2023,06:58:34.77118,0.7
12-Jun-2023,14:49:16.7115,0.8
12-Jun-2023,22:39:58.65982,0.7
13-Jun-2023,06:30:39.6523,0.8
13-Jun-2023,14:21:21.59862,0.8
13-Jun-2023,22:12:03.53593,0.7
14-Jun-2023,06:02:44.19846,0.7
14-Jun-2023,13:53:26.14278,0.7
14-Jun-2023,21:44:08.1001,0.7
15-Jun-2023,05:34:50.04042,0.7
15-Jun-2023,13:25:30.06003,0.8
15-Jun-2023,21:16:12.00836,0.7
16-Jun-2023,05:06:53.94768,0.8
16-Jun-2023,12:57:35.89,0.7
16-Jun-2023,20:48:17.82332,0.9
17-Jun-2023,04:38:59.76065,0.6
17-Jun-2023,12:29:41.70097,0.7
17-Jun-2023,20:20:23.63429,0.6
18-Jun-2023,04:11:04.60776,0.7
18-Jun-2023,12:01:44.63338,0.7
18-Jun-2023,19:52:26.5687,0.8
19-Jun-2023,03:43:08.49503,0.8
