Time,Value,Value Attributes
30-Mar-2024,05:14:06.6875,25
30-Mar-2024,05:14:05.6875,25
30-Mar-2024,05:14:02.6875,25
30-Mar-2024,05:14:01.6875,25
30-Mar-2024,05:13:59.6875,25
30-Mar-2024,05:13:38.65625,25
30-Mar-2024,05:13:36.65625,25
30-Mar-2024,05:13:34.65625,25
30-Mar-2024,05:13:29.65625,25
30-Mar-2024,05:13:27.65625,25
30-Mar-2024,05:13:25.65625,25
30-Mar-2024,05:13:16.65625,25
30-Mar-2024,05:13:15.65625,25
30-Mar-2024,05:13:13.65625,25
30-Mar-2024,05:12:25.59375,25
30-Mar-2024,05:12:23.59375,24
30-Mar-2024,05:12:22.59375,25
30-Mar-2024,05:12:12.59375,25
30-Mar-2024,05:12:11.59375,24
30-Mar-2024,05:12:09.59375,25
30-Mar-2024,05:12:05.59375,25
30-Mar-2024,05:12:04.5625,24
30-Mar-2024,05:12:02.5625,25
30-Mar-2024,05:11:49.5625,25
30-Mar-2024,05:11:48.5625,24
30-Mar-2024,05:11:47.5625,25
30-Mar-2024,05:11:39.5625,25
30-Mar-2024,05:11:35.5625,24
30-Mar-2024,05:11:31.5625,25
30-Mar-2024,05:11:24.5625,25
30-Mar-2024,05:11:09.5625,25
30-Mar-2024,05:11:08.5625,24
30-Mar-2024,05:11:06.5625,25
30-Mar-2024,05:11:03.5625,25
30-Mar-2024,05:10:54.5625,25
30-Mar-2024,05:10:44.5625,24
30-Mar-2024,05:10:43.5625,25
30-Mar-2024,05:10:40.5625,25
30-Mar-2024,05:10:38.5625,24
30-Mar-2024,05:10:35.5625,25
30-Mar-2024,05:10:29.5625,25
30-Mar-2024,05:10:27.5625,24
30-Mar-2024,05:10:26.5625,25
30-Mar-2024,05:10:24.5625,24
30-Mar-2024,05:10:22.5625,25
30-Mar-2024,05:10:13.5625,24
30-Mar-2024,05:10:12.5625,25
30-Mar-2024,05:10:10.5625,24
30-Mar-2024,05:10:08.5625,25
30-Mar-2024,05:10:05.5625,25
30-Mar-2024,05:09:36.53125,24
30-Mar-2024,05:09:33.53125,25
30-Mar-2024,05:09:32.53125,24
30-Mar-2024,05:09:18.53125,24
30-Mar-2024,05:09:16.53125,25
30-Mar-2024,05:09:15.53125,24
30-Mar-2024,05:09:01.5,24
30-Mar-2024,05:09:00.5,25
30-Mar-2024,05:08:58.5,24
